ibm-digital-analytics-impression-attribution	http://www-03.ibm.com/software/products/en/impression-attribution	[attribution]
adgear-advertiser	http://adgear.com	[attribution, display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
brightfunnel	http://www.brightfunnel.com/	[attribution]
c3-metrics	http://c3metrics.com/	[attribution]
live	https://live.groupm.com/static/solution-overview.aspx	[attribution]
roi-brain	http://www.marketingevolution.com/	[attribution]
marketshare-decisioncloud	http://www.marketshare.com/products	[attribution]
rakuten-attribution	http://marketing.rakuten.com/attribution	[attribution]
sylvan	http://www.ssctech.com/software/performancemeasurementglobalmarketsrisk/sylvan.aspx	[attribution]
tagcommander	http://www.tagcommander.com/en	[attribution]
black-ink	http://blackinkroi.com/benefits/	[attribution]
abakus	http://abakus.me/	[attribution]
adinton	http://adinton.com/	[attribution]
convertro	http://www.convertro.com/	[attribution]
visual-iq	http://www.visualiq.com/	[attribution]
pathmatics	http://www.pathmatics.com/	[attribution]
sparkfly	http://sparkfly.com/	[attribution]
optimahub-mediaattribution	http://www.datalicious.com/optimahub/mediaattribution-attribute-conversions-across-channels/	[attribution]
conversion-logic	http://www.conversionlogic.com/	[attribution]
claritix	http://claritix.io/solution/	[attribution]
thinkvine	http://www.thinkvine.com/	[attribution]
optimine	http://optimine.com/	[attribution]
sizmek	http://www.sizmek.com/	[display-advertising, video-advertising, search-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
kenshoo	http://www.kenshoo.com/	[display-advertising, search-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising, other-digital-advertising]
marin-software	http://www.marinsoftware.com/	[display-advertising, search-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
adobe-media-optimizer	http://www.adobe.com/solutions/media-optimization.html	[display-advertising, search-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management]
adroll	http://www.adroll.com/	[display-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
perfect-audience	http://www.perfectaudience.com/	[display-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
conversant	http://www.conversantmedia.com/solutions/enterprise-solutions/tools-and-tech/ad-serving	[display-advertising, video-advertising, search-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
quantcast-advertise	https://www.quantcast.com/advertise	[display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, publisher-ad-management, mobile-advertising]
reachlocal	http://www.reachlocal.com/us/en/solutions	[display-advertising, search-advertising, advertiser-campaign-management, other-digital-advertising]
atlas-solutions	http://atlassolutions.com/	[display-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
hasoffers	http://www.hasoffers.com/	[display-advertising, advertiser-campaign-management]
videology-campaign-engine	http://www.videologygroup.com/	[display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
flite	http://www.flite.com/	[display-advertising, advertiser-campaign-management, mobile-advertising]
flashtalking	http://www.flashtalking.com/us/	[display-advertising, video-advertising, advertiser-campaign-management, mobile-advertising]
connexity	http://connexity.com/	[display-advertising, advertiser-campaign-management]
liquidus	http://www.liquidus.net	[display-advertising, video-advertising, social-advertising, advertiser-campaign-management, other-digital-advertising]
adtech	http://www.adtech.com/en/	[display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
retargeter	http://retargeter.com/	[display-advertising, social-advertising, advertiser-campaign-management]
acxiom-digital-impact-email-services	http://aos.acxiom.com/	[display-advertising, social-advertising, advertiser-campaign-management, mobile-advertising]
steelhouse	http://www.steelhouse.com	[display-advertising, advertiser-campaign-management]
adstage	https://www.adstage.io/	[display-advertising, search-advertising, social-advertising, advertiser-campaign-management, mobile-advertising]
adblade-for-advertisers	http://www.adblade.com/	[display-advertising, advertiser-campaign-management]
trueffect	http://www.trueffect.com/ad-server/	[display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
taykey	http://www.taykey.com/#	[display-advertising, video-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
advanse	http://advanseads.com/	[display-advertising, advertiser-campaign-management, mobile-advertising]
industrybrains-for-advertisers	http://www.industrybrains.com/	[display-advertising, search-advertising, advertiser-campaign-management]
plista	https://www.plista.com/en/	[display-advertising, video-advertising, advertiser-campaign-management, publisher-ad-management, mobile-advertising]
nextperf-inc	http://www.nextperf.com/	[display-advertising, advertiser-campaign-management]
7search-com	http://7search.com/	[display-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
adtegrity	https://www.adtegrity.com/	[display-advertising, video-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
adsupply	https://www.adsupply.com/	[display-advertising, advertiser-campaign-management]
advertise-com	http://www.advertise.com/	[display-advertising, advertiser-campaign-management]
altitude-for-advertisers	http://www.altitudedigital.com/advertisers/	[display-advertising, video-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
myads	http://www.mybuys.com/	[display-advertising, advertiser-campaign-management]
visible-measures	http://www.visiblemeasures.com/	[display-advertising, video-advertising, advertiser-campaign-management]
adbutler	http://adbutler.com	[display-advertising, advertiser-campaign-management, publisher-ad-management]
bannersnack	http://www.bannersnack.com/	[display-advertising, advertiser-campaign-management, other-digital-advertising]
spark-flow	http://www.sparkflow.net	[display-advertising, social-advertising, cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
gumgum	http://gumgum.com/products	[display-advertising, advertiser-campaign-management]
perfectbanner	https://www.perfectbanner.com	[display-advertising, advertiser-campaign-management]
yahoo-gemini	https://gemini.yahoo.com/	[display-advertising, advertiser-campaign-management]
donde	http://www.donde.io/	[display-advertising, advertiser-campaign-management]
audiencexpress	http://www.audiencexpress.com/	[video-advertising, advertiser-campaign-management]
viralgains	http://www.viralgains.com/	[video-advertising, advertiser-campaign-management, publisher-ad-management]
pixability-v3	http://www.pixability.com/v3/	[video-advertising, advertiser-campaign-management]
adwords	http://adwords.google.com/	[search-advertising, advertiser-campaign-management]
wordstream	http://www.wordstream.com/products	[search-advertising, advertiser-campaign-management]
raven-tools	http://raventools.com/	[search-advertising, advertiser-campaign-management]
bing-ads	http://advertise.bingads.microsoft.com/	[search-advertising, advertiser-campaign-management]
webtrends	http://webtrends.com/products/analytics/website/	[search-advertising, advertiser-campaign-management]
yahoo-advertising	https://advertising.yahoo.com/advertisers/search/index.htm	[search-advertising, advertiser-campaign-management]
acquisio	http://www.acquisio.com/	[search-advertising, advertiser-campaign-management]
searchforce	http://www.searchforce.com/search/	[search-advertising, advertiser-campaign-management]
sunnyreports	https://www.sunnyreports.com	[search-advertising, advertiser-campaign-management]
swoop	http://www.swoop.com/	[search-advertising, advertiser-campaign-management]
adsology	http://adsology.com/thecompany.php	[search-advertising, cross-channel-advertising, advertiser-campaign-management]
clickable	http://www.clickable.com/	[search-advertising, advertiser-campaign-management]
insidevault	http://www.insidevault.com	[search-advertising, advertiser-campaign-management]
buzztala	http://buzztala.com/	[search-advertising, advertiser-campaign-management]
sales-orders	https://www.salesandorders.com/	[search-advertising, advertiser-campaign-management]
interactiveh2o	http://www.interactiveh2o.com	[search-advertising, advertiser-campaign-management]
buyerpath	http://www.buyerpath.com/	[search-advertising, advertiser-campaign-management]
adcore	http://www.adcore.com/	[search-advertising, advertiser-campaign-management]
marketmuse	https://www.marketmuse.com	[search-advertising, advertiser-campaign-management]
decisiv-search	http://www.recommind.com/products/decisiv-search	[search-advertising, advertiser-campaign-management]
adthena	http://adthena.com/	[search-advertising, advertiser-campaign-management]
4c	http://www.4cinsights.com/social-ads	[social-advertising, advertiser-campaign-management]
facebook-for-business	https://www.facebook.com/business	[social-advertising, advertiser-campaign-management]
twitter-ads	https://biz.twitter.com/en-gb/ad-products	[social-advertising, advertiser-campaign-management]
sprinklr	http://www.sprinklr.com/	[social-advertising, advertiser-campaign-management]
social-com	https://www.salesforce.com/marketing-cloud/features/social-advertising-solutions/	[social-advertising, advertiser-campaign-management]
linkedin-marketing-solutions	https://business.linkedin.com/marketing-solutionsl	[social-advertising, advertiser-campaign-management]
socialbakers	http://www.socialbakers.com/	[social-advertising, advertiser-campaign-management]
unified-social	http://www.unifiedsocial.com	[social-advertising, advertiser-campaign-management]
woobox	https://woobox.com/	[social-advertising, advertiser-campaign-management]
nanigans	http://nanigans.com	[social-advertising, advertiser-campaign-management, mobile-advertising]
adaptly	http://www.adaptly.com/	[social-advertising, advertiser-campaign-management]
socialcode	http://www.socialcode.com/	[social-advertising, advertiser-campaign-management]
catvertiser	https://www.catvertiser.com	[social-advertising, advertiser-campaign-management]
shopigniter	http://www.shopigniter.com/	[social-advertising, advertiser-campaign-management]
refuel4	https://refuel4.com/	[social-advertising, advertiser-campaign-management]
ampush	http://ampush.com/	[social-advertising, advertiser-campaign-management, mobile-advertising]
socialflow	http://socialflow.com	[social-advertising, advertiser-campaign-management]
adquant	http://www.adquant.com	[social-advertising, advertiser-campaign-management, mobile-advertising]
dstillery	http://dstillery.com/how-we-do-it/products/	[social-advertising, advertiser-campaign-management]
stitcherads	https://stitcherads.com	[social-advertising, advertiser-campaign-management]
needls	http://www.needls.com	[social-advertising, advertiser-campaign-management]
facelift-cloud	https://www.facelift-bbt.com/	[social-advertising, advertiser-campaign-management]
glow-machine	http://thisisglow.com/glow-machine/	[social-advertising, advertiser-campaign-management]
social-ads-tool	http://www.socialadstool.com	[social-advertising, advertiser-campaign-management]
sherl-y	https://sher.ly/	[social-advertising, advertiser-campaign-management]
brand-networks	https://bn.co/platform.html	[social-advertising, advertiser-campaign-management]
followus-com	http://www.followus.com	[social-advertising, advertiser-campaign-management]
epom-ad-server	http://epom.com/	[cross-channel-advertising, advertiser-campaign-management]
whenvisited	http://www.whenvi.com	[cross-channel-advertising, advertiser-campaign-management]
momentfeed	http://www.momentfeed.com	[cross-channel-advertising, advertiser-campaign-management, mobile-advertising]
appodeal	http://www.appodeal.com/	[advertiser-campaign-management, mobile-advertising]
millennial-media	http://www.millennialmedia.com/solutions/advertiser	[advertiser-campaign-management, mobile-advertising]
run	http://www.runads.com/	[advertiser-campaign-management, mobile-advertising]
fiksu	https://www.fiksu.com/what-we-do/miq	[advertiser-campaign-management, mobile-advertising]
growmobile	http://www.perion.com/	[advertiser-campaign-management, mobile-advertising]
go2mobi	http://www.go2mobi.com/	[advertiser-campaign-management, mobile-advertising]
onerun	http://www.youappi.com/	[advertiser-campaign-management, mobile-advertising]
